Campionato,Squadra,PIC,Qualificazione,Presidente,Capocannoniere,VMG,PS,CS
Bundesliga_1,1. FC Köln,9,Permanenza,\N,Anthony Modeste (15),76.0,50997,24
Bundesliga_1,1. FSV Mainz 05,6,Europa League,\N,Yunus Malli (11),75.2,34034,60
Eredivisie,ADO Den Haag,12,Permanenza,\N,Mike Havenaar (16),69.0,15000,28
Eredivisie,Ajax,2,Champions League,\N,Arkadiusz Milik (21),74.6,54033,140
Ligue_1,Angers SCO,11,Permanenza,\N,Cheikh Ndoye (9),71.0,17100,0
Premier_League,Arsenal,2,Champions League,Chips Keswick,Olivier Giroud (17),80.9,60260,434
Ligue_1,AS Monaco,3,Champions League,Dmitry Rybolovlev,Bernardo Silva (7),77.1,18523,0
Serie_A,AS Roma,3,Champions League,\N,Mohamed Salah (14),80.2,70634,110
Ligue_1,AS Saint-Étienne,6,Europa League,\N,Nolan Roux (9),74.0,41965,0
Premier_League,Aston Villa,20,Retrocessione,\N,Jordan Ayew (7),73.3,42660,0
Serie_A,Atalanta,13,Permanenza,Antonio Percassi,Alejandro Daro Gomez (7),73.4,21300,0
Liga_BBVA,Athletic Bilbao,5,Europa League,\N,Aritz Aduriz (21),76.2,53289,173
Liga_BBVA,Atlético Madrid,3,Champions League,Enrique Cerezo,Antoine Griezmann (22),80.9,67703,60
Eredivisie,AZ,4,Europa League,\N,Vincent Janssen (28),71.1,17023,38
Bundesliga_1,Bayer 04 Leverkusen,3,Champions League,\N,Javier Hernandez (17),77.1,30210,70
Serie_A,Bologna,14,Permanenza,Davide Morabito,Mattia Destro (8),73.5,36462,0
Bundesliga_1,Borussia Dortmund,2,Champions League,\N,Pierre-Emerick Aubameyang (25),79.5,81359,200
Bundesliga_1,Borussia Mönchengladbach,4,Champions League,\N,Raffael (13),77.2,54014,87
Premier_League,Bournemouth,15,Permanenza,\N,Joshua King (6),73.6,11464,0
Serie_A,Carpi,18,Retrocessione,\N,Marco Borriello (8),71.8,5510,0
Premier_League,Chelsea,10,Permanenza,Bruce Buck,Diego Costa (12),80.9,41663,0
Serie_A,Chievo,9,Permanenza,Luca Campedelli,Valter Birsa (6),74.2,39211,40
Premier_League,Crystal Palace,16,Permanenza,\N,Connor Wickham (5),75.0,25073,0
Eredivisie,De Graafschap,17,Retrocessione,\N,Vincent Vermeij (9),67.8,12600,0
Bundesliga_1,Eintracht Frankfurt,16,Spareggio,Fredi Bobic,Alexander Meier (12),74.0,51500,150
Serie_A,Empoli,11,Permanenza,Fabrizio Corsi,Massimo Maccarone (14),72.0,16284,0
Ligue_1,En Avant de Guingamp,16,Permanenza,\N,Yannis Salibur (7),72.1,18256,0
Ligue_1,ES Troyes AC,20,Retrocessione,\N,Fabien Camus (5),68.0,20400,0
Premier_League,Everton,11,Permanenza,\N,Romelu Lukaku (19),77.0,40157,0
Eredivisie,Excelsior,15,Permanenza,\N,Tom van Weert (11),67.6,3527,0
Bundesliga_1,FC Augsburg,13,Permanenza,\N,Ja-Cheol Koo (8),73.9,30660,0
Liga_BBVA,FC Barcelona,1,Champions League,Josep Maria Bartomeu,Luis Suarez (40),83.9,99354,2
Bundesliga_1,FC Bayern Munich,1,Champions League,Karl- Heinz Rummenigge,Robert Lewandowski (31),84.1,75000,340
Eredivisie,FC Groningen,7,Permanenza,\N,Michael de Leeuw (9),69.6,22579,0
Bundesliga_1,FC Ingolstadt 04,11,Permanenza,\N,Moritz Hartmann (12),72.2,15800,20
Ligue_1,FC Lorient,15,Permanenza,\N,Benjamin Moukandjo (13),71.7,19010,0
Ligue_1,FC Nantes,14,Permanenza,\N,Emiliano Sala (6),72.6,38128,0
Bundesliga_1,FC Schalke 04,5,Europa League,\N,Klaas Jan Huntelaar (12),77.0,62271,191
Eredivisie,FC Twente,11,Permanenza,\N,Hakim Ziyech (17),70.3,30205,50
Eredivisie,FC Utrecht,5,Permanenza,\N,Sebastien Haller (17),70.4,23750,0
Eredivisie,Feyenoord,3,Europa League,\N,Dirk Kuyt (19),73.4,51117,0
Serie_A,Fiorentina,5,Europa League,Mario Cognigni,Nikola Kalinic (13),77.4,46366,39
Serie_A,Frosinone,19,Retrocessione,\N,Federico Dionisi (9),70.1,16125,20
Serie_A,Genoa,10,Permanenza,Enrico Preziosi,Leonardo Pavoletti (15),74.5,36600,0
Liga_BBVA,Getafe CF,19,Retrocessione,\N,Pablo Sarabia (7),73.7,17393,0
Ligue_1,GFC Ajaccio,19,Retrocessione,\N,Mohamed Larbi (8),68.7,6000,0
Ligue_1,Girondins de Bordeaux,9,Permanenza,\N,Cheick Diabate (10),74.2,42115,168
Liga_BBVA,Granada CF,17,Permanenza,\N,Youssef El Arabi (17),73.2,23156,0
Bundesliga_1,Hamburger SV,10,Permanenza,\N,Nicolai Mueller (9),73.9,55989,64
Bundesliga_1,Hannover 96,18,Retrocessione,\N,Artur Sobiech (7),71.9,49200,83
Serie_A,Hellas Verona,20,Retrocessione,\N,Giampaolo Pazzini (6),72.4,39211,40
Eredivisie,Heracles Almelo,6,Europa League,\N,Wouter Weghorst (12),68.8,12080,0
Bundesliga_1,Hertha BSC Berlin,7,Europa League,\N,Salomon Kalou (14),76.2,74475,297
Serie_A,Inter,4,Europa League,Erick Thohir,Mauro Icardi (16),79.3,80018,60
Serie_A,Juventus,1,Champions League,Andrea Agnelli,Paulo Dybala (19),82.4,41507,155
Serie_A,Lazio,8,Permanenza,Claudio Lotito,Antonio Candreva (10),77.0,70634,110
Premier_League,Leicester City,1,Champions League,Vichai Srivaddhanaprabha,Jamie Vardy (24),76.7,32312,41
Liga_BBVA,Levante UD,20,Retrocessione,\N,Deyverson (10),73.5,26354,0
Premier_League,Liverpool,8,Permanenza,Thomas Werner,Roberto Firmino (11),75.8,54074,260
Ligue_1,LOSC Lille,5,Europa League,\N,Sofiane Boufal (11),74.0,49822,282
Liga_BBVA,Málaga CF,9,Permanenza,\N,Charles (15),75.3,30044,0
Premier_League,Manchester City,4,Champions League,Khaldoon Al Mubarak,Sergio Aguero (24),81.3,55097,124
Premier_League,Manchester United,5,Europa League,Ed Woodward,Anthony Martial (11),79.4,75653,60
Serie_A,Milan,7,Permanenza,Silvio Berlusconi,Carlos Bacca (19),77.3,80018,60
Ligue_1,Montpellier Hérault SC,12,Permanenza,\N,Souleymane Camara (8),72.6,32900,0
Eredivisie,N.E.C.,10,Permanenza,\N,Christian Santos (17),68.5,12500,27
Serie_A,Napoli,2,Champions League,Aurelio De Laurentiis,Gonzalo Higuain (36),80.0,60240,80
Premier_League,Newcastle United,18,Retrocessione,\N,Georginio Wijnaldum (11),73.7,52354,42
Premier_League,Norwich City,19,Retrocessione,\N,Dieumerci Mbokani (8),73.3,43984,20
Ligue_1,OGC Nice,4,Europa League,\N,Hatem Ben Arfa (17),71.6,35596,245
Ligue_1,Olympique de Marseille,13,Permanenza,\N,Michy Batshuayi (17),74.5,67394,267
Ligue_1,Olympique Lyonnais,2,Champions League,Jean- Michel Aulas,Alexandre Lacazette (21),76.3,59186,480
Serie_A,Palermo,16,Permanenza,Maurizio Zamparini,Alberto Gilardino (10),71.1,36349,22
Ligue_1,Paris Saint-Germain,1,Champions League,Nasser Al- Khelaifi,Zlatan Ibrahimovic (39),80.4,47929,22
Eredivisie,PEC Zwolle,8,Permanenza,\N,Lars Veldwijk (16),68.6,13250,0
Eredivisie,PSV,1,Champions League,\N,Luuk de Jong (27),76.3,35000,0
Liga_BBVA,Rayo Vallecano,18,Retrocessione,\N,Javi Guerra (13),73.3,14505,0
Liga_BBVA,RC Celta de Vigo,6,Europa League,\N,Iago Aspas (14),77.9,29000,0
Liga_BBVA,RC Deportivo de La Coruña,15,Permanenza,\N,Lucas Perez (18),75.1,32912,0
Liga_BBVA,RCD Espanyol,14,Permanenza,\N,Felipe Caicedo (8),74.4,40500,54
Liga_BBVA,Real Betis Balompié,10,Permanenza,\N,Ruben Castro (20),73.7,60720,0
Liga_BBVA,Real Madrid,2,Champions League,Florentino Perez,Cristiano Ronaldo (36),84.9,81044,2
Liga_BBVA,Real Sociedad,8,Permanenza,\N,Imanol Agirretxe (14),77.3,32000,21
Liga_BBVA,Real Sporting de Gijón,16,Permanenza,Javier Fernandez,Antonio Sanabria (11),74.4,29029,0
Eredivisie,Roda JC Kerkrade,14,Permanenza,\N,Tom van Hyfte (8),67.8,19000,40
Serie_A,Sampdoria,15,Permanenza,Massimo Ferrero,Roberto Soriano (8),73.9,36600,0
Serie_A,Sassuolo,6,Europa League,Carlo Rossi,Domenico Berardi (7),74.8,23717,11
Ligue_1,SC Bastia,10,Permanenza,\N,Floyd Ayite (8),70.5,16000,0
Eredivisie,SC Cambuur,18,Retrocessione,\N,Bartholomew Ogbeche (10),66.4,10500,0
Eredivisie,SC Heerenveen,13,Permanenza,\N,Mitchell te Vrede (10),71.0,26800,0
Liga_BBVA,SD Eibar,13,Permanenza,Amaia Gorostiza,Borja Baston (18),75.8,7083,0
Liga_BBVA,Sevilla FC,7,Champions League,\N,Kevin Gameiro (16),78.9,42714,0
Ligue_1,SM Caen,7,Permanenza,\N,Andy Delort (12),72.7,21000,23
Premier_League,Southampton,6,Europa League,\N,Graziano Pelle (11),76.9,32505,35
Ligue_1,Stade de Reims,18,Retrocessione,\N,Nicolas De Preville (6),69.6,21684,50
Ligue_1,Stade Rennais FC,8,Permanenza,\N,Ousmane Dembele (12),75.1,29778,0
Premier_League,Stoke City,9,Permanenza,\N,Marko Arnautovic (12),76.4,27740,15
Premier_League,Sunderland,17,Permanenza,\N,Jermain Defoe (15),74.4,48707,25
Bundesliga_1,SV Darmstadt 98,12,Permanenza,\N,Sandro Wagner (15),72.7,17000,0
Bundesliga_1,SV Werder Bremen,14,Permanenza,Marco Bode,Claudio Pizarro (14),72.0,42100,76
Premier_League,Swansea City,12,Permanenza,\N,Andre Ayew (12),76.2,21088,30
Serie_A,Torino,13,Permanenza,Urbano Cairo,Andrea Belotti (14),76.4,27958,30
Premier_League,Tottenham Hotspur,3,Champions League,Daniel Levy,Harry Kane (26),80.5,27958,839
Ligue_1,Toulouse FC,17,Permanenza,\N,Wissam Ben Yedder (17),73.4,33150,0
Bundesliga_1,TSG 1899 Hoffenheim,15,Permanenza,Dietmar Hopp,Mark Uth (8),75.6,30164,60
Liga_BBVA,UD Las Palmas,11,Permanenza,Miguel Angel Ramirez,Jonathan Viera (10),76.3,33111,0
Serie_A,Udinese,17,Permanenza,Franco Soldati,Cyril Thereau (13),75.4,25132,1
Liga_BBVA,Valencia CF,12,Permanenza,\N,Francisco Alcacer (16),77.3,49500,0
Bundesliga_1,VfB Stuttgart,17,Retrocessione,\N,Daniel Didavi (13),73.8,60469,63
Bundesliga_1,VfL Wolfsburg,8,Permanenza,Francisco Garcia,Andre Schuerrle (9),78.5,30122,53
Liga_BBVA,Villarreal CF,4,Champions League,\N,Cedric Bakambu (12),78.9,24890,0
Eredivisie,Vitesse,9,Permanenza,\N,Valeri Kazaishvili (10),71.1,25500,0
Premier_League,Watford,13,Permanenza,\N,Odion Ighalo (16),74.7,23700,0
Premier_League,West Bromwich Albion,14,Permanenza,\N,Jose Salomon Rondon (9),74.3,26850,7
Premier_League,West Ham United,7,Europa League,\N,Dimitri Payet (10),76.3,60000,620
Eredivisie,Willem II,16,Permanenza,\N,Erik Falkenburg (11),68.8,14750,0
