ID_P,Data,Settimana,Squadra_C,Squadra_T,Possesso_C,Possesso_T
1988924,2016-01-16,22,8456,9826,42,58
1988925,2016-01-16,22,10261,8654,59,41
1988926,2016-01-16,22,8466,8659,66,34
1988927,2016-01-17,22,10194,9825,48,52
1988928,2016-01-18,22,10003,9817,65,35
1988929,2016-01-16,22,8586,8472,69,31
1988930,2016-01-24,23,9825,8455,56,44
1988931,2016-01-23,23,9826,8586,24,76
1988932,2016-01-24,23,8668,10003,44,56
1988933,2016-01-23,23,8197,10194,48,52
1988934,2016-01-23,23,10260,8466,52,48
1988935,2016-01-23,23,9850,8650,53,47
1988936,2016-01-23,23,8472,8678,44,56
1988937,2016-01-23,23,9817,10261,52,48
1988938,2016-01-23,23,8659,10252,46,54
1988939,2016-01-23,23,8654,8456,41,59
1988940,2016-02-02,24,9825,8466,61,39
1988941,2016-02-02,24,8197,8650,43,57
1988942,2016-02-02,24,9850,8586,30,70
1988943,2016-02-02,24,8472,8456,36,64
1988944,2016-02-03,24,9817,8455,36,64
1988945,2016-02-02,24,8654,10252,49,51
1988946,2016-02-02,24,9826,8678,47,53
1988947,2016-02-02,24,10260,10194,54,46
1988948,2016-02-02,24,8659,10003,39,61
1988949,2016-02-03,24,8668,10261,68,32
1988950,2016-02-06,25,10252,9850,62,38
1988951,2016-02-07,25,8678,9825,41,59
1988952,2016-02-07,25,8455,10260,32,68
1988953,2016-02-06,25,8650,8472,85,15
1988954,2016-02-06,25,8456,8197,68,32
1988955,2016-02-06,25,10261,8659,84,16
1988956,2016-02-06,25,8466,8654,58,42
1988957,2016-02-06,25,10194,8668,53,47
1988958,2016-02-06,25,10003,9826,69,31
1988959,2016-02-06,25,8586,9817,66,34
1988960,2016-02-14,26,9825,8197,68,32
1988961,2016-02-14,26,10252,8650,42,58
1988962,2016-02-13,26,8678,10194,74,26
1988963,2016-02-13,26,8455,10261,41,59
1988964,2016-02-13,26,9826,9817,41,59
1988965,2016-02-13,26,8668,8659,67,33
1988966,2016-02-14,26,8456,8586,40,60
1988967,2016-02-13,26,9850,8654,44,56
1988968,2016-02-13,26,8472,10260,28,72
1988969,2016-02-13,26,10003,8466,49,51
1988970,2016-02-27,27,8197,9850,68,32
1988971,2016-04-20,27,8650,8668,61,39
1988972,2016-02-28,27,10260,9825,49,51
1988973,2016-04-19,27,10261,8456,24,76
1988974,2016-02-27,27,8466,8455,46,54
1988975,2016-02-27,27,10194,10252,55,45
1988976,2016-02-28,27,8586,10003,55,45
1988977,2016-02-27,27,9817,8678,45,55
1988978,2016-02-27,27,8659,9826,47,53
1988979,2016-02-27,27,8654,8472,67,33
1988980,2016-03-02,28,9825,10003,59,41
1988981,2016-03-01,28,10252,8668,34,66
1988982,2016-03-01,28,8678,8466,47,53
1988983,2016-03-01,28,8197,8659,60,40
1988984,2016-03-01,28,9850,8455,45,55
1988985,2016-03-01,28,8472,9826,60,40
1988986,2016-03-02,28,8654,8586,33,67
1988987,2016-03-02,28,8650,8456,56,44
1988988,2016-03-02,28,10260,9817,60,40
1988989,2016-03-02,28,10194,10261,57,43
1988990,2016-03-05,29,8455,10194,49,51
1988991,2016-03-06,29,9826,8650,36,64
1988992,2016-03-05,29,8668,8654,55,45
1988993,2016-03-05,29,8456,10252,81,19
1988994,2016-03-05,29,10261,8678,40,60
1988995,2016-03-05,29,8466,8472,58,42
1988996,2016-03-05,29,10003,9850,62,38
1988997,2016-03-05,29,8586,9825,60,40
1988998,2016-03-05,29,9817,8197,51,49
1988999,2016-03-06,29,8659,10260,35,65
1989000,2016-04-21,30,9825,8659,60,40
1989001,2016-03-13,30,10252,8586,42,58
1989002,2016-03-12,30,8678,10003,42,58
1989003,2016-03-14,30,8197,10261,62,38
1989004,2016-05-11,30,8650,8455,58,42
1989005,2016-04-20,30,10260,9826,66,34
1989006,2016-03-12,30,9850,8456,21,79
1989007,2016-03-12,30,10194,8466,58,42
1989008,2016-05-11,30,8472,8668,38,62
1989009,2016-04-20,30,8654,9817,59,41
1989010,2016-03-19,31,8455,8654,72,28
1989011,2016-03-19,31,9826,8197,70,30
1989012,2016-03-19,31,8668,9825,60,40
1989013,2016-03-20,31,8456,10260,32,68
1989014,2016-03-20,31,10261,8472,46,54
1989015,2016-03-20,31,8466,8650,36,64
1989016,2016-03-19,31,10003,10252,35,65
1989017,2016-03-20,31,8586,8678,65,35
1989018,2016-03-19,31,9817,10194,48,52
1989019,2016-03-19,31,8659,9850,55,45
1989020,2016-04-02,32,9825,9817,89,11
1989021,2016-04-02,32,10252,8455,47,53
1989022,2016-04-02,32,8678,8456,49,51
1989023,2016-04-03,32,8197,8466,82,18
1989024,2016-04-02,32,8650,8586,38,62
1989025,2016-04-03,32,10260,8668,53,47
1989026,2016-04-02,32,9850,10261,36,64
1989027,2016-04-02,32,10194,10003,48,52
1989028,2016-04-02,32,8472,8659,26,74
1989029,2016-04-02,32,8654,9826,65,35
1989030,2016-04-09,33,10252,8678,16,84
1989031,2016-04-09,33,9826,9850,54,46
1989032,2016-04-10,33,8650,10194,64,36
1989033,2016-04-09,33,8456,8659,68,32
1989034,2016-04-09,33,8466,10261,77,23
1989035,2016-04-10,33,8472,8197,50,50
1989036,2016-04-09,33,10003,8455,42,58
1989037,2016-04-10,33,8586,10260,25,75
1989038,2016-04-09,33,9817,8668,23,77
1989039,2016-04-09,33,8654,9825,49,51
1989040,2016-04-17,34,9825,9826,69,31
1989041,2016-04-17,34,8678,8650,38,62
1989042,2016-04-16,34,8455,8456,32,68
1989043,2016-04-16,34,8668,8466,46,54
1989044,2016-04-17,34,8197,8654,46,54
1989045,2016-04-16,34,10260,10252,76,24
1989046,2016-04-16,34,10261,10003,25,75
1989047,2016-04-16,34,9850,8472,21,79
1989048,2016-04-18,34,10194,8586,43,57
1989049,2016-04-16,34,8659,9817,16,84
1989050,2016-04-23,35,10252,8466,11,89
1989051,2016-04-23,35,8678,8455,68,32
1989052,2016-04-13,35,9826,8668,54,46
1989053,2016-04-24,35,8197,10003,46,54
1989054,2016-04-23,35,8650,10261,53,47
1989055,2016-04-23,35,8456,10194,65,35
1989056,2016-05-11,35,9850,9817,53,47
1989057,2016-04-24,35,8472,9825,35,65
1989058,2016-04-25,35,8586,8659,78,22
1989059,2016-05-10,35,8654,10260,44,56
1989060,2016-04-30,36,9825,9850,72,28
1989061,2016-05-02,36,8455,8586,88,12
1989062,2016-04-30,36,8668,8678,45,55
1989063,2016-05-01,36,10260,8197,90,10
1989064,2016-04-30,36,10261,9826,45,55
1989065,2016-05-01,36,8466,8456,32,68
1989066,2016-04-30,36,10194,8472,47,53
1989067,2016-05-01,36,10003,8650,60,40
1989068,2016-04-30,36,9817,10252,61,39
1989069,2016-04-30,36,8659,8654,56,44
1989070,2016-05-07,37,10252,10261,58,42
1989071,2016-05-07,37,8678,8659,67,33
1989072,2016-05-07,37,9826,10194,60,40
1989073,2016-05-07,37,8197,8668,36,64
1989074,2016-05-08,37,8650,9817,84,16
1989075,2016-05-08,37,8456,9825,71,29
1989076,2016-05-07,37,9850,10260,33,67
1989077,2016-05-07,37,8472,8455,39,61
1989078,2016-05-08,37,8586,8466,82,18
1989079,2016-05-07,37,8654,10003,70,30
1989778,2015-08-08,1,7794,9851,48,52
1989779,2015-08-09,1,9827,9837,59,41
1989780,2016-02-13,26,6391,10242,46,54
1989781,2015-08-07,1,8639,9847,41,59
1989782,2015-08-09,1,9748,8689,67,33
1989783,2015-08-08,1,8592,7819,67,33
1989784,2015-08-08,1,10249,8121,44,56
1989785,2015-08-08,1,9830,9747,58,42
1989786,2015-08-08,1,9831,9829,53,47
1989787,2015-08-09,1,9941,9853,47,53
1989788,2015-08-15,2,8121,9830,57,43
1989789,2015-08-15,2,7819,9941,45,55
1989790,2015-08-15,2,9747,9748,33,67
1989791,2015-08-16,2,8689,7794,70,30
1989792,2015-08-14,2,9829,8639,58,42
1989793,2015-08-16,2,9847,6391,66,34
1989794,2015-08-16,2,9837,8592,40,60
1989795,2015-08-15,2,9851,10249,48,52
1989796,2015-08-15,2,9853,9827,51,49
1989797,2015-08-15,2,10242,9831,41,59
1989798,2015-08-22,3,7794,9747,55,45
1989799,2015-08-22,3,6391,8121,71,29
1989800,2015-08-23,3,8639,9827,61,39
1989801,2015-08-23,3,8689,9853,35,65
1989802,2015-08-22,3,9748,9851,65,35
1989803,2015-08-23,3,8592,10242,64,36
1989804,2015-08-21,3,10249,9847,33,67
1989805,2015-08-22,3,9830,9837,52,48
1989806,2015-08-22,3,9831,7819,67,33
1989807,2015-08-22,3,9941,9829,50,50
1989808,2015-08-29,4,8121,9831,36,64
1989809,2015-08-30,4,9827,9830,55,45
1989810,2015-08-29,4,7819,9748,35,65
1989811,2015-08-28,4,9747,8592,31,69
1989812,2015-08-29,4,8639,6391,74,26
1989813,2015-08-30,4,9829,9847,27,73
1989814,2015-08-29,4,9837,8689,57,43
1989815,2015-08-29,4,9851,9941,63,37
1989816,2015-08-30,4,9853,7794,72,28
1989817,2015-08-29,4,10242,10249,51,49
1989818,2015-09-13,5,6391,9829,49,51
1989819,2015-09-12,5,8689,8121,54,46
1989820,2015-09-12,5,9748,8639,61,39
1989821,2015-09-13,5,8592,7794,64,36
1989822,2015-09-12,5,10249,9853,45,55
1989823,2015-09-13,5,9830,9851,43,57
1989824,2015-09-12,5,9831,9747,62,38
1989825,2015-09-11,5,9847,9827,71,29
1989826,2015-09-12,5,9941,9837,45,55
1989827,2015-09-12,5,10242,7819,67,33
1989828,2015-09-19,6,8121,10242,54,46
1989829,2015-09-19,6,7794,9831,51,49
1989830,2015-09-20,6,9827,9941,56,44
1989831,2015-09-19,6,7819,10249,28,72
1989832,2015-09-19,6,9747,6391,79,21
1989833,2015-09-20,6,8592,9748,51,49
1989834,2015-09-20,6,9829,8689,53,47
1989835,2015-09-19,6,9837,9847,39,61
1989836,2015-09-18,6,9851,8639,44,56
1989837,2015-09-20,6,9853,9830,51,49
1989838,2015-09-22,7,8121,9837,60,40
1989839,2015-09-23,7,6391,9851,55,45
1989840,2015-09-29,7,8639,9830,66,34
1989841,2015-09-23,7,8689,7819,63,37
1989842,2015-09-23,7,9748,7794,74,26
1989843,2015-09-24,7,10249,9829,53,47
1989844,2015-09-23,7,9831,9827,54,46
1989845,2015-09-22,7,9847,9747,74,26
1989846,2015-09-23,7,9941,8592,49,51
1989847,2015-09-23,7,10242,9853,50,50
1989848,2015-09-26,8,7794,9941,49,51
1989849,2015-09-26,8,9827,9748,58,42
1989850,2015-09-26,8,7819,6391,45,55
1989851,2015-09-27,8,9747,9829,49,51
1989852,2015-09-27,8,8592,8121,66,34
1989853,2015-09-27,8,10249,8689,49,51
1989854,2015-09-26,8,9830,9847,36,64
1989855,2015-09-25,8,9837,8639,37,63
1989856,2015-09-26,8,9851,10242,54,46
1989857,2015-09-27,8,9853,9831,46,54
1989858,2015-10-03,9,8121,7794,62,38
1989859,2015-10-04,9,7819,9853,42,58
1989860,2015-10-03,9,6391,9941,56,44
1989861,2015-10-02,9,8639,10249,60,40
1989862,2015-10-04,9,8689,9827,45,55
1989863,2015-10-03,9,9748,9837,69,31
1989864,2015-10-04,9,9829,9851,57,43
1989866,2015-10-04,9,9847,8592,53,47
1989867,2015-10-03,9,10242,9747,47,53
1989868,2015-10-17,10,7794,9847,40,60
1989869,2015-10-18,10,9827,10249,55,45
1989870,2015-10-17,10,9747,8639,35,65
1989871,2015-10-18,10,8592,8689,57,43
1989872,2015-10-16,10,9829,9748,45,55
1989873,2015-10-17,10,9830,10242,56,44
1989874,2015-10-17,10,9837,7819,56,44
1989875,2015-10-18,10,9851,9831,50,50
1989876,2015-10-17,10,9853,6391,63,37
1989877,2015-10-17,10,9941,8121,60,40
1989878,2015-10-24,11,8121,9747,58,42
1989879,2015-10-25,11,9827,10242,51,49
1989880,2015-10-23,11,7819,9830,47,53
1989881,2015-10-24,11,6391,9831,49,51
1989882,2015-10-25,11,8639,8592,57,43
1989883,2015-10-24,11,8689,9851,45,55
1989884,2015-10-23,11,9748,9941,65,35
1989885,2015-10-24,11,10249,7794,59,41
1989886,2015-10-25,11,9847,9853,72,28
1989887,2015-10-25,11,9837,9829,43,57
1989888,2015-10-31,12,7794,7819,62,38
1989889,2015-10-31,12,6391,9827,57,43
1989890,2015-10-31,12,9747,8689,40,60
1989891,2015-11-01,12,9829,8121,53,47
1989892,2015-11-01,12,9830,8592,45,55
1989893,2015-11-01,12,9831,8639,61,39
1989894,2015-10-30,12,9851,9847,36,64
1989895,2015-10-31,12,9853,9837,59,41
1989896,2015-10-31,12,9941,10249,47,53
1989897,2015-10-31,12,10242,9748,38,62
1989898,2015-11-06,13,8121,9851,52,48
1989899,2015-11-08,13,9827,9829,51,49
1989900,2015-11-07,13,7819,9747,35,65
1989901,2015-11-07,13,8639,7794,71,29
1989902,2015-11-07,13,8689,10242,68,32
1989903,2015-11-08,13,9748,9853,64,36
1989904,2015-11-08,13,8592,9831,54,46
1989905,2015-11-07,13,10249,9830,52,48
1989906,2015-11-07,13,9847,9941,64,36
1989907,2015-11-07,13,9837,6391,65,35
1989908,2015-11-22,14,7794,6391,47,53
1989909,2015-11-22,14,7819,8121,43,57
1989910,2015-11-21,14,9747,9941,52,48
1989911,2015-11-21,14,8689,9847,28,72
1989912,2015-11-21,14,9829,9830,57,43
1989913,2015-11-21,14,10249,9837,55,45
1989914,2015-11-20,14,9831,9748,41,59
1989915,2015-11-22,14,9851,9827,56,44
1989916,2015-11-22,14,9853,8592,35,65
1989917,2015-11-21,14,10242,8639,51,49
1989918,2015-11-28,15,8121,8639,53,47
1989919,2015-11-29,15,9827,7819,61,39
1989920,2015-11-28,15,6391,8689,54,46
1989921,2015-11-27,15,9748,10249,60,40
1989922,2015-11-29,15,8592,9829,70,30
1989923,2015-11-28,15,9830,7794,61,39
1989924,2015-11-28,15,9847,10242,61,39
1989925,2015-11-28,15,9837,9851,61,39
1989926,2015-11-29,15,9853,9747,58,42
1989927,2015-11-28,15,9941,9831,42,58
1989928,2015-12-01,16,8121,9847,25,75
1989929,2015-12-02,16,7794,9827,36,64
1989930,2015-12-02,16,9747,9837,51,49
1989931,2015-12-02,16,8639,9853,54,46
1989932,2015-12-01,16,8689,9831,49,51
1989933,2015-12-02,16,9829,7819,62,38
1989934,2015-12-02,16,10249,6391,52,48
1989935,2015-12-01,16,9830,9748,42,58
1989936,2015-12-03,16,9851,8592,56,44
1989937,2015-12-02,16,10242,9941,55,45
1989938,2015-12-05,17,7794,9829,52,48
1989939,2015-12-06,17,9827,9747,73,27
1989940,2015-12-05,17,7819,8639,55,45
1989941,2015-12-05,17,6391,9830,43,57
1989942,2015-12-05,17,9748,8121,58,42
1989943,2015-12-06,17,8592,10249,71,29
1989944,2015-12-04,17,9831,9847,38,62
1989945,2015-12-05,17,9837,10242,59,41
1989946,2015-12-06,17,9853,9851,56,44
1989947,2015-12-05,17,9941,8689,66,34
1989948,2015-12-13,18,8121,9827,49,51
1989949,2015-12-12,18,8639,8689,68,32
1989950,2015-12-13,18,8592,6391,56,44
1989951,2015-12-13,18,9829,9853,58,42
1989952,2015-12-12,18,10249,9747,66,34
1989953,2015-12-12,18,9830,9941,55,45
1989954,2015-12-13,18,9847,9748,66,34
1989955,2015-12-12,18,9837,9831,35,65
1989956,2015-12-11,18,9851,7819,62,38
1989957,2015-12-12,18,10242,7794,47,53
1989958,2015-12-19,19,7794,9837,54,46
1989959,2015-12-20,19,9827,8592,45,55
1989960,2015-12-19,19,7819,9847,33,67
1989961,2015-12-20,19,6391,9748,46,54
1989962,2015-12-19,19,9747,9851,48,52
1989963,2015-12-19,19,8689,9830,54,46
1989964,2015-12-18,19,9831,10249,51,49
1989965,2015-12-20,19,9853,8121,62,38
1989966,2015-12-19,19,9941,8639,54,46
1989967,2015-12-19,19,10242,9829,40,60
1989970,2016-01-09,20,8121,7819,66,34
1989971,2016-01-09,20,9829,6391,65,35
1989972,2016-01-10,20,9830,9853,54,46
1989973,2016-01-10,20,8639,9831,45,55
1989974,2016-01-09,20,10249,9827,49,51
1989975,2016-01-10,20,8592,9747,65,35
1989976,2016-01-09,20,9748,10242,68,32
1989977,2016-01-08,20,9847,7794,70,30
1989978,2016-01-09,20,9837,9941,44,56
1989979,2016-01-09,20,9851,8689,57,43
1989980,2016-01-17,21,9853,9748,33,67
1989981,2016-01-16,21,9747,9830,46,54
1989982,2016-01-16,21,10242,9851,40,60
1989983,2016-01-16,21,9827,8639,60,40
1989984,2016-01-17,21,8689,9829,49,51
1989985,2016-01-16,21,6391,9837,50,50
1989986,2016-01-15,21,9831,8121,61,39
1989987,2016-01-16,21,7794,10249,47,53
1989988,2016-01-17,21,7819,8592,33,67
1989989,2016-01-16,21,9941,9847,27,73
1989990,2016-01-24,22,9829,9941,52,48
1989991,2016-01-23,22,9747,7794,56,44
1989992,2016-01-23,22,9830,9827,34,66
1989993,2016-01-23,22,8639,10242,58,42
1989994,2016-01-23,22,10249,7819,72,28
1989995,2016-01-23,22,9831,8689,57,43
1989996,2016-01-24,22,9748,8592,66,34
1989997,2016-01-23,22,9847,8121,69,31
1989998,2016-01-24,22,9837,9853,43,57
1989999,2016-01-22,22,9851,6391,56,44
1990000,2016-01-30,23,8121,9829,42,58
1990001,2016-01-31,23,9853,9847,42,58
1990002,2016-01-30,23,10242,9830,47,53
1990003,2016-01-31,23,9827,9851,49,51
1990004,2016-01-30,23,8689,9837,69,31
1990005,2016-01-30,23,6391,10249,47,53
1990006,2016-01-29,23,8592,8639,70,30
1990007,2016-01-30,23,7794,9748,32,68
1990008,2016-01-31,23,7819,9831,24,76
1990009,2016-01-30,23,9941,9747,57,43
1990010,2016-03-05,29,8121,9853,42,58
1990011,2016-03-05,29,9827,6391,46,54
1990012,2016-03-05,29,8639,9837,57,43
1990013,2016-03-05,29,9831,10242,68,32
1990014,2016-03-06,29,8592,9941,51,49
1990015,2016-03-06,29,9748,9747,71,29
1990016,2016-03-05,29,9847,10249,55,45
1990017,2016-03-05,29,7794,8689,52,48
1990018,2016-03-04,29,7819,9829,47,53
1990019,2016-03-06,29,9851,9830,42,58
1990020,2016-03-11,30,9829,9837,43,57
1990021,2016-03-12,30,9747,9853,47,53
1990022,2016-03-13,30,10242,9847,42,58
1990023,2016-03-12,30,8689,8592,37,63
1990024,2016-03-13,30,9830,8121,59,41
1990025,2016-03-12,30,6391,7819,52,48
1990026,2016-03-12,30,10249,9831,39,61
1990027,2016-03-12,30,7794,8639,51,49
1990028,2016-03-13,30,9851,9748,32,68
1990029,2016-03-12,30,9941,9827,45,55
1990030,2016-03-19,31,8121,8689,51,49
1990031,2016-03-19,31,9853,10249,46,54
1990032,2016-03-20,31,9827,7794,44,56
1990033,2016-03-19,31,8639,9941,53,47
1990034,2016-03-20,31,9831,6391,62,38
1990035,2016-03-18,31,8592,9851,54,46
1990036,2016-03-19,31,9748,9830,63,37
1990037,2016-03-20,31,9847,9829,67,33
1990038,2016-03-19,31,7819,10242,55,45
1990039,2016-03-19,31,9837,9747,59,41
1990040,2016-04-01,32,9829,9827,59,41
1990041,2016-04-02,32,9747,10249,35,65
1990042,2016-04-02,32,10242,8121,49,51
1990043,2016-04-03,32,8689,9748,44,56
1990044,2016-04-03,32,9830,8639,47,53
1990045,2016-04-02,32,6391,9853,49,51
1990046,2016-04-02,32,9847,9831,58,42
1990047,2016-04-03,32,7794,8592,36,64
1990048,2016-04-02,32,9851,9837,55,45
1990049,2016-04-02,32,9941,7819,50,50
1990050,2016-04-09,33,8121,6391,56,44
1990051,2016-04-09,33,9853,10242,64,36
1990052,2016-04-09,33,9747,9847,36,64
1990053,2016-04-10,33,8639,9829,62,38
1990054,2016-04-08,33,10249,9748,32,68
1990055,2016-04-10,33,9831,9851,64,36
1990056,2016-04-10,33,8592,9827,58,42
1990057,2016-04-09,33,7819,8689,51,49
1990058,2016-04-09,33,9837,9830,45,55
1990059,2016-04-09,33,9941,7794,47,53
1990060,2016-04-17,34,9829,8592,42,58
1990061,2016-04-16,34,10242,9837,52,48
1990062,2016-04-16,34,9827,8121,70,30
1990063,2016-04-16,34,8689,9941,53,47
1990064,2016-04-17,34,9830,10249,49,51
1990065,2016-04-16,34,6391,8639,46,54
1990066,2016-04-15,34,9748,9831,33,67
1990067,2016-04-16,34,9847,7819,71,29
1990068,2016-04-16,34,7794,9853,48,52
1990069,2016-04-17,34,9851,9747,62,38
1990070,2016-04-24,35,9853,8689,56,44
1990071,2016-04-24,35,9747,7819,52,48
1990072,2016-05-11,35,9827,9847,37,63
1990073,2016-04-24,35,6391,7794,56,44
1990074,2016-04-27,35,8639,8121,69,31
1990075,2016-04-24,35,10249,10242,39,61
1990076,2016-04-22,35,9831,9837,71,29
1990077,2016-04-24,35,8592,9830,65,35
1990078,2016-04-24,35,9851,9829,40,60
1990079,2016-04-23,35,9941,9748,40,60
1990080,2016-05-01,36,8121,8592,51,49
1990081,2016-04-30,36,9829,9747,57,43
1990082,2016-04-30,36,9853,9941,62,38
1990083,2016-04-30,36,10242,9827,40,60
1990084,2016-04-30,36,8689,8639,54,46
1990085,2016-04-30,36,9830,9831,38,62
1990086,2016-04-30,36,9748,6391,72,28
1990087,2016-04-29,36,9847,9851,59,41
1990088,2016-04-30,36,7819,7794,59,41
1990089,2016-04-30,36,9837,10249,41,59
1990090,2016-05-07,37,9827,8689,45,55
1990091,2016-05-07,37,9830,7819,65,35
1990092,2016-05-07,37,6391,9847,33,67
1990093,2016-05-07,37,8639,9747,54,46
1990094,2016-05-07,37,10249,9851,47,53
1990095,2016-05-07,37,9831,9853,66,34
1990096,2016-05-07,37,8592,9837,54,46
1990097,2016-05-07,37,9748,9829,62,38
1990098,2016-05-07,37,7794,8121,59,41
1990099,2016-05-07,37,9941,10242,47,53
1990100,2016-05-14,38,8121,9941,55,45
1990101,2016-05-14,38,9829,10249,45,55
1990102,2016-05-14,38,9853,8639,49,51
1990103,2016-05-14,38,9747,9831,24,76
1990104,2016-05-14,38,10242,8592,30,70
1990105,2016-05-14,38,8689,6391,57,43
1990106,2016-05-14,38,9847,9830,61,39
1990107,2016-05-14,38,7819,9827,36,64
1990108,2016-05-14,38,9837,9748,37,63
1990109,2016-05-14,38,9851,7794,53,47
1990110,2016-02-02,24,9829,7794,59,41
1990111,2016-02-03,24,9747,10242,65,35
1990112,2016-02-03,24,9830,6391,54,46
1990113,2016-02-03,24,8639,7819,67,33
1990114,2016-02-02,24,10249,8592,43,57
1990115,2016-02-03,24,9831,9941,65,35
1990116,2016-02-03,24,9748,9827,74,26
1990117,2016-02-03,24,9847,8689,66,34
1990118,2016-02-03,24,9837,8121,66,34
1990119,2016-02-04,24,9851,9853,45,55
1990120,2016-02-06,25,8121,9748,39,61
1990121,2016-02-06,25,9829,9831,44,56
1990122,2016-02-07,25,9827,9853,45,55
1990123,2016-02-06,25,8689,10249,67,33
1990124,2016-02-06,25,6391,9747,70,30
1990125,2016-02-07,25,8639,9851,43,57
1990126,2016-02-07,25,8592,9847,46,54
1990127,2016-02-06,25,7794,10242,61,39
1990128,2016-02-06,25,7819,9837,53,47
1990129,2016-02-06,25,9941,9830,49,51
1990130,2016-02-14,26,9853,9829,58,42
1990131,2016-02-13,26,9747,9827,42,58
1990132,2015-08-08,1,10242,6391,36,64
1990133,2016-02-13,26,9830,8689,54,46
1990134,2016-02-13,26,10249,9941,56,44
1990135,2016-02-14,26,9831,8592,46,54
1990136,2016-02-14,26,9748,7819,64,36
1990137,2016-02-13,26,9847,8639,58,42
1990138,2016-02-13,26,9837,7794,53,47
1990139,2016-02-12,26,9851,8121,60,40
1990140,2016-02-20,27,8121,10249,44,56
1990141,2016-02-20,27,9829,10242,48,52
1990142,2016-02-19,27,9827,9831,35,65
1990143,2016-02-20,27,8689,9747,59,41
1990144,2016-02-21,27,8639,9748,60,40
1990145,2016-02-21,27,8592,9853,54,46
1990146,2016-02-20,27,9847,9837,70,30
1990147,2016-03-09,27,7794,9830,54,46
1990148,2016-02-21,27,7819,9851,31,69
1990149,2016-02-20,27,9941,6391,51,49
1990150,2016-02-28,28,9853,7819,63,37
1990151,2016-02-27,28,9747,8121,55,45
1990152,2016-02-27,28,10242,8689,60,40
1990153,2016-02-28,28,9830,9829,54,46
1990154,2016-03-09,28,6391,8592,44,56
1990155,2016-02-27,28,10249,8639,54,46
1990156,2016-02-26,28,9831,7794,74,26
